extent,format,description,language,rights,title,date_digital_creation,contributor,genre_form,genre_form.1,identifier,geographic_subject,creator,original_publisher,date_created,classification,Image,coordinates
"maps color 75 x 68 cm., sheet 91 x 74 cm. or smaller","['application/tif', 'reformatted digital']","['Scale 1:63,360. 1 in.=1 mile (W 60Â°0Ê¹--E 14Â°5Ê¹/N 553Â°0Ê¹--N 493Â°0Ê¹)', 'Each sheet is numbered and named individually', 'Contours are at 50 foot intervals', 'Cartographic material', 'First edition by the Director General at the Ordnance Survey Office, Chessington', 'Includes national grid, grid reference, and adjoining sheets', 'Relief shown by contours, gradient tints, and spot heights', 'Map series of Great Britain showing railways, parks, glasshouses, National Trust areas, electricity transmission lines, pipe lines, boundaries, quarries, gravel pits, water feature, roads, paths, buildings, and sites of battle', '""Military system."" Overprinted with national grid military system']",eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,"Ordnance Survey of Great Britain: new popular one-inch map (with national grid), England & Wales.",2023-11-13T21:09:22.429000+00:00,Great Britain War Office General Staff Geographical Section,Topographic Maps,Cartographic Image,4015523,"['Great Britain--Maps', 'England--Maps', 'Wales--Maps']",Great Britain Ordnance Survey,War Office,1947-,G5740 s63 .G74,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/26/pages/page_0/files/londonmaps_4015523_1.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/26/pages/page_1/files/londonmaps_4015523_2.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/26/pages/page_2/files/londonmaps_4015523_3.jpg,(W 60°0'--E 14°5'/N 553°0'--N 493°0')
1 map on sheet 70 x 99 cm,"['application/tif', 'reformatted digital']","['Cartographic material', ""Includes engraved views of Clerkenwell Green with Sessions House and St. James's Church"", 'Plan published in 1813 in his work ""Description of an improved method of delineating estates"". Adapted from his own large-scale plan of Clerkenwell, completed for the Clerkenwell Vestry in 1808', 'Scale [ca. 1:2,494]']",eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,Plan of the parish of Clerkenwell,2023-11-13T21:05:21.120000+00:00,Islington Libraries,Maps,Cartographic Image,3999268,"Clerkenwell (London, England)--Maps--Facsimiles","Hornor, Thomas, 1785-1844",Islington Libraries Archives,[between 1970 and 1979?],G5754.L7:2C5 1808 .H67 1970,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/20/pages/page_0/files/londonmaps_3999268.jpg,
1 map 150 x 238 cm. on 12 sheets 56 x 77 or 56 x 39 cm,"['application/tif', 'reformatted digital']","['Cartographic material', 'Prospect of London and Westminster', 'Includes ""A prospect of London and Westminster taken at several stations to the southward thereof, by Robt. Morden & Phil. Lea,"" indexes, diagrs. of government and university administrators\' names, dedication statements, text, tables, and illus', '[London?: R. Morden & P. Lea?], 1682', '""This survey was begun by Mr. Ogilby, and finished & humbly dedicated by Wm. Morgan.""', 'Scale [1:3,600] . 300 ft. in 1 in', 'Available also through the Library of Congress Web site as a raster image']",eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,London &c. actually surveyed : Prospect of London and Westminster,2023-11-13T21:10:06.810000+00:00,"['Morden, Robert, approximately 1650-1703', 'London Topographical Society', 'Lea, Philip, active 1683-1700', 'Ogilby, John, 1600-1676']","['Aerial views', 'Cadastral maps', 'Pictorial maps']",Cartographic Image,3971728,"['Westminster (London, England)--Aerial views--Early works to 1800--Facsimiles', 'London (England)--Aerial views--Early works to 1800--Facsimiles', 'London (England)--Maps--Early works to 1800--Facsimiles']","Morgan, William, -1690",London Topographical Society,1904,G5754.L7 1682 .M6 1904,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/17/pages/page_0/files/3971728_01.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/17/pages/page_1/files/3971728_02.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/17/pages/page_2/files/3971728_03.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/17/pages/page_3/files/3971728_04.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/17/pages/page_4/files/3971728_05.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/17/pages/page_5/files/3971728_06.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/17/pages/page_6/files/3971728_07.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/17/pages/page_7/files/3971728_08.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/17/pages/page_8/files/3971728_09.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/17/pages/page_9/files/3971728_10.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/17/pages/page_10/files/3971728_11.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/17/pages/page_11/files/3971728_12.jpg,
1 map on xvi sheets 16 leaves of maps on sheets 52 x 71 cm,"['application/tif', 'reformatted digital']","['Carte topographique des villes de Londres et de Westminster, du bourg de Southwark, et de leurs environs leveÌ€ treÌ€s exactement fur les lieux par Jean Rocque en 1741, et finis en 1745', 'Accurata descriptio urbium Londinensis et Westmonasteriensis, nec non municipii Southwarkensis, et universae regionis ad decem fere undique millia passuum, incepta anno 1741 et absoluta anno 1745', 'Title vignette', 'Carte topographique des villes de Londres et de Westminster, du bourg de Southwark, et de leurs environs leveÌ€ [sic] treÌ€s exactement fur les lieux par Jean Rocque en 1741, et finis en 1745', 'Photolithograph', 'Cartographic material', 'Scale [ca. 1:12,000]']",eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,"An exact survey of the citys of London, Westminster, ye borough of Southwark and the country near ten miles round begun in 1741 & ended in 1745",2023-11-13T21:13:00.728000+00:00,,Maps,Cartographic image,3964499,"['London (England)--Maps--Early works to 1800--Facsimiles', 'City of London (England)--History--Maps--Facsimiles', 'City of London (England)--Maps--Early works to 1800--Facsimiles', 'London (England)--History--Maps--Facsimiles']","Rocque, John, -1762",Edward Stanford,1878,G5754.L7 1746 .R63 1878,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/13/pages/page_0/files/londonmaps_3964499_01.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/13/pages/page_1/files/londonmaps_3964499_02.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/13/pages/page_2/files/londonmaps_3964499_03.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/13/pages/page_3/files/londonmaps_3964499_04.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/13/pages/page_4/files/londonmaps_3964499_05.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/13/pages/page_5/files/londonmaps_3964499_06.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/13/pages/page_6/files/londonmaps_3964499_07.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/13/pages/page_7/files/londonmaps_3964499_08.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/13/pages/page_8/files/londonmaps_3964499_09.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/13/pages/page_9/files/londonmaps_3964499_10.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/13/pages/page_10/files/londonmaps_3964499_11.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/13/pages/page_11/files/londonmaps_3964499_12.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/13/pages/page_12/files/londonmaps_3964499_13.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/13/pages/page_13/files/londonmaps_3964499_14.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/13/pages/page_14/files/londonmaps_3964499_15.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/13/pages/page_15/files/londonmaps_3964499_16.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/13/pages/page_16/files/londonmaps_3964499_17.jpg,
"5 maps 108 x 84 cm, or smaller","['application/tif', 'reformatted digital']","['Some are photocopies', 'Scales vary', 'Title devised by cataloger', 'Includes City of Westminster, Southwark, Camberwell', 'Collection of maps used for planning project?']",eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,[Planning maps of London].,2023-11-13T21:19:40.511000+00:00,,Maps,Cartographic Image,4825371,London (England)--Maps,"Great Britain Ordnance Survey,",[Ordnance Survey?],[between 1970 and 1980?],G5754.L7 s000 .G7,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/51/pages/page_0/files/londonmaps_4825371_1.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/51/pages/page_1/files/londonmaps_4825371_2.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/51/pages/page_2/files/londonmaps_4825371_3.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/51/pages/page_3/files/londonmaps_4825371_4.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/51/pages/page_4/files/londonmaps_4825371_5.jpg,
1 map 16 x 47 cm,"['application/tif', 'reformatted digital']","['Scale [ca. 1:10,000]', 'Plan of the intended new road from Paddington to Islington', ""Indexed for landowners' names"", 'Cadastral map showing real property along proposed route', 'Cartographic material', '""Engrav\'d for the Gents. magazine, Jan. 1756.""']",eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,A plan of the intended new road from Padington to Islington,2023-11-13T21:13:19.060000+00:00,,Early Maps,Cartographic Image,4033618,"['Paddington (London, England)--Maps--Early works to 1800', 'London (England)--Maps--Early works to 1800', 'Islington (London, England)--Maps--Early works to 1800']","Cole, B. (Benjamin)",[publisher not identified],[1756],G5754.L7P2 1756 .C6,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/40/pages/page_0/files/londonmaps_4033618.jpg,
1 map 71 x 101 cm,"['application/tif', 'reformatted digital']","['St. George Hanover Square, St. Margaret, St. Martin in the Fields, St. John the Evangelist, St. James Westminster, St. Luke Chelsea, St. Mary Abbotts Kensington P.H.S. St. Margaret Westminster PH. (Det.d.) & close of the Collegiate Church of St. Peter (Ex. Par)', 'Cartographic material', 'Scale 1:2,500. 25.344 in. = 1 mile', 'Includes index to the 5 feet plans in this sheet']",eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,London.,2023-11-13T21:14:39.080000+00:00,,Maps,Cartographic Image,4035006,"['Westminster (London, England)--Maps', 'London (England)--Maps']",Great Britain Ordnance Survey,[Ordnance Survey],1878,G5754.W54 1869 .G7,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/44/pages/page_0/files/londonmaps_4035006.jpg,
7 unnumbered plates : llustrations ; 36 cm,"['application/tif', 'reformatted digital']","['""From the drawing in the possession of the Corporation of London.""--On each leaf.', 'Handwritten title on portfolio cover.', 'Plate 15. Southwark iron bridge from Bankside -- plate 16. Part of new and old London bridges -- plate 17. First arch of Southwark shore-lock of old bridge looking east -- plate 18. Northern part of the new and old London bridges -- plate 19. View between the new and old bridges looking north -- plate 20. Crypt of St. Thomas on the old London bridge -- plate 21. Old London bridge and fresh wharf.']",eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,Seven drawings of London Bridge,2023-11-13T21:20:31.758000+00:00,City of London (England),"['Drawing and Plans', 'Maps']",Text,3972473,"London Bridge (London, England)--","Cooke, Edward William, 1811-1880",London Topographical Society,1913,NC242.C54 A4 1913,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/54/pages/page_0/files/3972473_1.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/54/pages/page_1/files/3972473_2.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/54/pages/page_2/files/3972473_3.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/54/pages/page_3/files/3972473_4.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/54/pages/page_4/files/3972473_5.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/54/pages/page_5/files/3972473_6.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/54/pages/page_6/files/3972473_7.jpg,
1 map 46 x 35 cm,"['application/tif', 'reformatted digital']","['Cartographic material', 'Scale [ca. 1:2,360]', 'Once a fortified palace, the area of the Savoy is here taken up by a prison and prison yard, barracks, a hospital and a French church. The palace structure was badly damage during the Peasant Revolt of 1381, and in 1505 Henry VII ordered the palace to be rebuilt as a hospital, with St John the Baptist as its patron saint. The hospital was first used for soldiers in 1627 after the expedition to La Rochelle to help the Huguenots. By 1695 Sir Christopher Wren had built a military prison on the site. In 1661, after the Savoy conference about religious problems, French Protestants were given the use of the little chapel, rebuilt by Wren in 1685. The site was cleared from 1816 to 20 to make the approach to Waterloo Bridge', '""Published according to Act of Parliament June 20 1754.""', 'Plate XIV from the second volume of: Vetusta monumenta']",eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,"A plan of the ground and buildings in the Strand, called the Savoy, taken in the year 1736",2023-11-13T21:12:36.724000+00:00,Society of Antiquaries of London,Early Maps,Cartographic Image,4033612,"Strand, The (London, England)--Maps--Early works to 1800","Vertue, George, 1684-1756",Sumptibus Societ Ant Lond,1754,G5754.L7:2S85 1736 .V47,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/37/pages/page_0/files/londonmaps_4033612.jpg,
1 map color on sheet 31 x 48 cm,"['reformatted digital', 'application/tif']","[""King's Scholar's Pond Sewer, formerly the River Tyburn, also formerly known as the Aye Brook"", 'Scale not given', 'Cartographic material']",eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,Plan of the Air Brook near Stratford Place: copy from Mr. Luter's plan which he says was taken by him before the Aire Brook was covered over (see Lord Aldborough's note in the minutes of the Com[m]ittee of Works of the 7th July 1779) June 3d 1779 S.D.,2023-11-13T21:10:31.857000+00:00,"Aldborough, Edward Stratford, 1736-1801",Maps,Cartographic Image,4026204,"['Westminster (London, England)--Maps', 'Tyburne, River (England)--Maps']",Great Britain Commissioners of Sewers for Westminster and Part of Middlesex,Sewers Westminster &c.,[between 1810 and 1829?],G5754.W54N46 1779 .G76,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/30/pages/page_0/files/londonmaps_4026204.jpg,
map 53 x 61 cm,"['application/tif', 'reformatted digital']","['Relief shown pictorially', 'Facsimile', 'Includes panoramas of London and Greenwich', 'Cartographic material', '""Emery Walker, ph. sc.""', 'Scale ca. [1:30,000]', 'Cushing Library copy is part of the Stephen Powys Marks London Collection']",eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,"A prospect and map of London, showing the River Thames to Woolwich reach",2023-11-13T21:18:37.380000+00:00,London Topographical Society,Maps,Cartographic image,2579907,"['London (England)--Maps--Early works to 1800--Facsimiles', 'London (England)--Aerial views--Early works to 1800--Facsimiles', 'Greenwich (London, England)--Aerial views--Early works to 1800--Facsimiles']","Moore, Jonas, 1617-1679",London Topographical Society,1912,G5754.L7 1662 .M6 1912,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/7/pages/page_0/files/londonmaps_2579907.jpg,
1 view 40 x 51 cm,"['application/tif', 'reformatted digital']","['Emery Walker ph.sc', 'Includes dedication to the right honorable Sr. Ric. Saltonstall, text, coat-of-arms and ill', 'Cartographic material', 'Panorama', '""Specta. et habes quantum ego cum privilegio.""', '""Photoengraved by the courtesy of Sir Sidney Lee from an impression, unique in this state, engraved in the year 1597.""', 'Scale not given', 'Cushing Library copy is part of the Stephen Powys Marks London Collection']",eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,The view of London Bridge from east to west,2023-11-13T21:15:57.580000+00:00,"Walker, Emery, 1851-1933",Pictorial works,Still Image,2579833,"London Bridge (London, England)--Pictorial works--Early works to 1800--Facsimiles","Norden, John, 1548-1625?",London Topographical Society,1919,G5754.L7:2L6A35 1597 .N6 1919,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/5/pages/page_0/files/londonmaps_2579833.jpg,
146 maps color 47 x 69 cm,"['application/tif', 'reformatted digital']","['Overprinted with military grid', 'Sheets are of either: Popular edition style or 5th edition style', 'Relief shown by contours and spot heights. Depth shown by contours', 'Scale 1:63 360. 1 in. = 1 statute mile', 'W.O. [War Office] Cassini Grid', 'Cartographic material', 'Ordnance Survey of England & Wales']",eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,Ordnance Survey of England and Wales.,2023-11-13T21:08:42.795000+00:00,Great Britain War Office General Staff Geographical Section,Maps,Cartographic Image,4015508,"['Wales ---maps', 'England ---maps', 'Wales--Maps', 'England--Maps']",Great Britain Ordnance Survey,War Office,1940-1944.,G5750 s63 .G7,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/24/pages/page_0/files/londonmaps_4015508_1.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/24/pages/page_1/files/londonmaps_4015508_2.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/24/pages/page_2/files/londonmaps_4015508_3.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/24/pages/page_3/files/londonmaps_4015508_4.jpg,
1 map overlay 49 x 34 cm,"['application/tif', 'reformatted digital']","['Cartographic material', ""The River Fleet is the largest of London's subterranean rivers. Its two headwaters are two streams on Hampstead Heath; each is now dammed into a series of ponds made in the 18th century, the Hampstead Ponds and the Highgate Ponds. At the south edge of Hampstead Heath these two streams flow underground as sewers which join in Camden Town. From the ponds the water flows underground for 4 miles (6.4 km) to join the River Thames"", 'Scale not given']",eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,The Fleet.,2023-11-13T21:12:05.879000+00:00,,Maps,Cartographic Image,4026617,"Fleet, River (England)--Maps",London County Council,L.C.C.,[between 1850 and 1869?],G5754.L7N46 1850 .L7,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/34/pages/page_0/files/londonmaps_4026617.jpg,
"1 map on 7 sheets color 54 x 137 cm., or smaller","['application/tif', 'reformatted digital']","['Bound', 'Cartographic material', 'Scale [ca. 1:824]', 'Tybourne, 1817', 'Hand-colored', ""The Tyburn is a stream in London, which runs underground from South Hampstead through St. James's Park to meet the River Thames at Pimlico near Vauxhall Bridge. Before it was covered over, the Tyburn arose from the confluence of two tributary streams from the hills of Hampstead. At what is now St. James's Park, it split into three branches, two of which formed Thorney Island on which Westminster Abbey was built. The Tyburn is now completely enclosed and flows through underground conduits for its entire length, including one underneath Buckingham Palace. Marylebone Lane (W1) follows the course of the Tyburn on what was its left bank through Marylebone village. From its source at the Shepherd's Well near Fitzjohns Avenue in Hampstead it flowed south through Swiss Cottage down to Regent's Park. In the park the Tyburn is carried in an aqueduct over the Regent's Canal""]",eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,Plan shewing the course of the Tybourne: from the L.C.C. drawings.,2023-11-13T21:11:30.696000+00:00,London County Council,Maps,Cartographic Image,4026198,"['Westminster (London, England)--Maps', 'Tyburne, River (England)--Maps']",Great Britain Commissioners of Sewers for Westminster and Part of Middlesex,"""Sewers Westminster Etc.""",1817,G5754.W54N46 1817 .G7,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/27/pages/page_0/files/londonmaps_4026198_1.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/27/pages/page_1/files/londonmaps_4026198_2.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/27/pages/page_2/files/londonmaps_4026198_3.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/27/pages/page_3/files/londonmaps_4026198_4.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/27/pages/page_4/files/londonmaps_4026198_5.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/27/pages/page_5/files/londonmaps_4026198_6.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/27/pages/page_6/files/londonmaps_4026198_7.jpg,
