dc_identifier,dcterms_extent,ldp_contains,fedora_writable,fedora_created,dc_creator,dcterms_spatial,dcterms_medium,tamudigital_local/details,fedora_lastModifiedBy,dc_type,fedora_hasParent,dc_subject,fedora_lastModified,dc_title,dc_rights,dcterms_type,dc_format,fedora_createdBy,files,dc_relation,dcterms_temporal,dcterms_created,dc_contributor
1130,"1 sheet of gray, red, green, pink and white marbled paper; 20.25 x 25.25 in.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/105/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/105/orderProxies,false,2022-06-21T13:54:19.688000+00:00,"Cockerell, Douglas|Cockerell, Sydney Morris",England--Cambridge,Paper,"Surface application; Marbled; M4.D3.F7; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1; Not signed; Stamped; Not stickered; Not embossed; Douglas Cockerell and Sidney Cockerell, father and son, were both talented English marblers. They marbled beginning in the 1970s.; [stamped in black ink on verso]: [copyright symbol] COCKERELL 94 WIMPOLE ROAD BARTON CAMBRIDGE CB3 7AD ENGLAND Tel 01223 262430 QUALITY HAND MARBLED DESIGN NO UNAUTHORISED REPRODUCTION""; [stamped in black ink on verso]: ""COCKERELL MARBLED PAPERS *SECOND* HAND MARBLED DESIGN""",fedoraAdmin,Combed marbled papers|art reproduction|curl marbled paper,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects,Marbled papers,2022-06-21T13:54:19.688000+00:00,Berger-Cloonan #1130,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,StillImage,reformatted digital,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/105/pages/page_0/files/01130.jpg,,,,Cockerell
1000,"1 sheet of light green, light blue, pink, white and light brown marbled paper; 15.50 x 17.25 (uneven edges) in.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/42/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/42/pages,false,2022-06-21T13:52:28.942000+00:00,"Ozeum, Mr.",China--Xinjiang Uygur Zizhiqu,Paper,"Surface application; Marbled; M4.D5.F1; Muted colors; Mr. Ozeum donated the sheet to Sidney E. Berger and Michele V. Cloonan.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.4; Not signed; Stamped; Not stickered; Not embossed; #01000 and #01001 stored together in onion paper folder; sheet stapled to onion paper folder; [stamped in purple ink on paper folder] ""KHOTAN PAPER, Handmade and marbled, Xinjiang Uygur Autonomous Region PRC, CACAS, Central Asian Culture Art Society""; [stamped in purple ink on paper folder]: ""Limited Edition #all rights by OZEUM <uygur13@tnn.net>""",fedoraAdmin,Random marbled papers|marbled paper|art reproduction,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects,Marbled papers,2022-06-21T13:52:28.942000+00:00,Berger-Cloonan #1000,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,StillImage,reformatted digital,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/42/pages/page_0/files/01000.jpg,M4.D5.F1.A,,,Central Asian Culture Art Society
1102,"1 sheet of pink, brown and white marbled paper; 20.25 x 25.25 in.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/77/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/77/orderProxies,false,2022-06-21T13:53:35.623000+00:00,"Cockerell, Douglas|Cockerell, Sydney Morris",England--Cambridge,Paper,"Surface application; Marbled; M4.D3.F7; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1; Not signed; Stamped; Not stickered; Not embossed; Douglas Cockerell and Sidney Cockerell, father and son, were both talented English marblers. They marbled beginning in the 1970s.; [stamped in black ink on verso]: [copyright symbol] COCKERELL 1996 BARTON CAMBRIDGE CB3 7AD ENGLAND Tel/Fax 01223 262430 NO UNAUTHORISED REPRODUCTION""; [written in black ink on verso]: ""2nd""",fedoraAdmin,art reproduction|Combed marbled papers|curl marbled paper,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects,Marbled papers,2022-06-21T13:53:35.623000+00:00,Berger-Cloonan #1102,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,StillImage,reformatted digital,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/77/pages/page_0/files/01102.jpg,,1990s,1996,Cockerell
15,"1 sheet of brown, green, black, white, and light gray marbled paper; 19.00 x 24.75 in.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/16/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/16/pages,false,2022-06-21T13:51:31.821000+00:00,"Breugel, Eva Van",Holland,Paper,"Distribution of fibers; Surface application; Laid; Watermarked; Marbled; M5.D4.F1; Paper has watermark of rooster and heraldic shield; laid paper; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; II.H; VIII.F.1; Not signed; Stamped; Not stickered; Not embossed; [stamped in blue ink on verso]: ""EVA VAN BREUGEL""",fedoraAdmin,watermarks|art reproduction|Combed marbled papers|curl marbled paper,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects,Marbled papers|Watermarks,2022-06-21T13:51:31.821000+00:00,Berger-Cloonan #15,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,StillImage,reformatted digital,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/16/pages/page_0/files/00015.jpg,M5.D4.F1.A,,,
992,1 sheet of light brown mottled-fiber paper; 14.25 x 16.25  in.,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/34/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/34/orderProxies,false,2022-06-21T13:52:22.343000+00:00,,China--Xinjiang Uygur Zizhiqu,Paper,"Distribution of fibers; Mottled-fiber; M4.D5.F1; ""Dr. Sidney Berger""; written in calligraphic black script; handmade paper; Mr. Ozeum donated the sheet to Sidney E. Berger and Michele V. Cloonan.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.F; Not signed; Stamped; Not stickered; Not embossed; [stamped in red ink on recto]: ""illegible""; [stamped in black ink on verso]: ""KHOTAN PAPER, Handmade and marbled, Xinjiang Uygur Autonomous Region PRC, CACAS, Central Asian Culture Art Society""",fedoraAdmin,Mottled-fiber papers|art reproduction,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects,Decorative paper,2022-06-21T13:52:22.343000+00:00,Berger-Cloonan #992,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,StillImage,reformatted digital,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/34/pages/page_0/files/00992.jpg,M4.D5.F1.A,,,Central Asian Culture Art Society
1135,"1 sheet of blue, green and white marbled paper; 20.25 x 25.25 in.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/110/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/110/pages,false,2022-06-21T13:54:31.033000+00:00,"Cockerell, Sydney Morris|Cockerell, Douglas",England,Paper,"Surface application; Marbled; M4.D3.F7; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1; Not signed; Stamped; Not stickered; Not embossed; Douglas Cockerell and Sidney Cockerell, father and son, were both talented English marblers. They marbled beginning in the 1970s.; [stamped in black ink on verso]: [copyright symbol] COCKERELL 1996 BARTON CAMBRIDGE CB3 7AD ENGLAND Tel/Fax 01223 262430 NO UNAUTHORISED REPRODUCTION""; [stamped in black ink on verso]: ""FINEST ENGLISH HAND MARBLED DESIGN FROM THE COCKERELL STUDIO EST. OVER 80 YRS""",fedoraAdmin,art reproduction|Combed marbled papers|curl marbled paper,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects,Marbled papers,2022-06-21T13:54:31.033000+00:00,Berger-Cloonan #1135,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,StillImage,reformatted digital,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/110/pages/page_0/files/01135.jpg,,1990s,1996,Cockerell
12429,1 sheet of dark pink and light pink marbled paper; 19.50 x 20.50 in.,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/152/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/152/orderProxies,false,2022-06-21T13:55:38.906000+00:00,"Frigge, Karli",Netherlands,Paper,"Distribution of fibers; Surface application; Laid; Marbled; M4.D3.F4; Agate marble with cellular aspect and 4 nuclei or eyes with molecular design; laid paper; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; VIII.F.4.f; Not signed; Not stamped; Not stickered; Not embossed; Creased; crumpled edges; 2 remnants of clear adhesive tape on verso; The Berger/Cloonan paper collection contains a large number of the works of Karli Frigge. Sidney E. Berger wrote Karli Frigge's Life in Marbling (Newtown, PA: Bird & Bull Press, 2004), in which he claims that Karli Frigge is perhaps the greatest marbler in history.",fedoraAdmin,agate marbled paper|Stone marbled papers|art reproduction,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects,Marbled papers,2022-06-21T13:55:38.906000+00:00,Berger-Cloonan #1249,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,StillImage,reformatted digital,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/152/pages/page_0/files/12429.jpg,,,,
4439,"1 sheet of green, purple, pink, blue, white and cream marbled paper; 19.50 x 27.00 in.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/135/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/135/orderProxies,false,2022-06-21T13:55:15.125000+00:00,"Frigge, Karli",Netherlands,Paper,"Distribution of fibers; Surface application; Laid; Marbled; M4.D3.F4; Agate marble with cellular aspect; laid paper; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; VIII.F.4.f; Not signed; Stamped; Ink on verso; creased; The Berger/Cloonan paper collection contains a large number of the works of Karli Frigge. Sidney E. Berger wrote Karli Frigge's Life in Marbling (Newtown, PA: Bird & Bull Press, 2004), in which he claims that Karli Frigge is perhaps the greatest marbler in history.; [stamped in black ink on verso]: ""NUMMER KARLI FRIGGE MARMER PAPIER NEDERLAND [printed in 4 scrolls""; [written in pencil on verso]: ""vernis""",fedoraAdmin,agate marbled paper|Stone marbled papers|art reproduction,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects,Marbled papers,2022-06-21T13:55:15.125000+00:00,Berger-Cloonan #4439,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,StillImage,reformatted digital,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/135/pages/page_0/files/04439.jpg,,,,
981,"1 sheet of red, green, yellow, light blue, dark blue and white marbled paper; 13.25 x 19.00 in.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/23/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/23/orderProxies,false,2022-06-21T13:52:00.371000+00:00,"Duzgunman, Mustafa",,Paper,"Surface application; Marbled; M4.D5.F1; Central floral and leaf motif; background is random marbling; Sidney E. Berger and Michele V. Cloonan purchased the sheet.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.2; VIII.F.4; Signed; Not stamped; Not stickered; Not embossed; #00981 and #00982 stored together in plastic sleeve; [written in purple ink on recto]: ""Mustafa 1986""; [written in pencil on verso]: ""NYN 125.00""",fedoraAdmin,Random marbled papers|marbled paper|art reproduction|Figured marbled papers,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects,Marbled papers,2022-06-21T13:52:00.371000+00:00,Berger-Cloonan #981,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,StillImage,reformatted digital,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/23/pages/page_0/files/00981.jpg,M4.D5.F1.A,1980s,1986,
1097,"1 sheet of light brown, gray, black and white marbled paper; 9.50 x 25.25 in.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/72/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/72/pages,false,2022-06-21T13:53:20.767000+00:00,"Cockerell, Douglas|Cockerell, Sydney Morris",England,Paper,"Surface application; Marbled; M4.D5.F4; Sidney E. Berger and Michele V. Cloonan purchased the sheet from the Paper Source in Los Angeles, California circa 1988.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1; Not signed; Not stamped; Not stickered; Not embossed; Douglas Cockerell and Sidney Cockerell, father and son, were both talented English marblers. They marbled beginning in the 1970s.",fedoraAdmin,Combed marbled papers|art reproduction|curl marbled paper,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects,Marbled papers,2022-06-21T13:53:20.767000+00:00,Berger-Cloonan #1097,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,StillImage,reformatted digital,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/72/pages/page_0/files/01097.jpg,,,,Cockerell
3740,1 sheet of silver and black marbled paper; 19.75 x 27.75 in.,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/119/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/119/pages,false,2022-06-21T13:54:44.990000+00:00,,Hawaii,Paper,Surface application; Marbled; M5.D4.F13; Silver blotch in one small area along edge; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1.f; Not signed; Not stamped; Possibly by Victoria-Gail-White,fedoraAdmin,Oil on water marbled papers|art reproduction,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects,Marbled papers,2022-06-21T13:54:44.990000+00:00,Berger-Cloonan #3740,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,StillImage,reformatted digital,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/119/pages/page_0/files/03740.jpg,,,,
1081,"1 sheet of blue, brown, red, purple, black and white marbled paper; 17.50 x 25.00 in.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/56/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/56/orderProxies,false,2022-06-21T13:52:58.691000+00:00,"Hall, Victoria",England--Norwich,Paper,"Surface application; Marbled; M4.D5.F3; Sidney E. Berger and Michele V. Cloonan purchased the sheet from Ian Harkness.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1.g; Not signed; Stamped; Not stickered; Not embossed; [stamped in black ink on verso]: ""Victoria Marbling  HAND DECORATED PAPERS BY VICTORIA HALL, St. Mary's Works, Duke Street, Norwich, NR3 1QA ENGLAND Tel: 01603 76441""; [stamped in blue ink on verso]: ""Copyright [copyright symbol] 1995, No unauthorized reproduction""",fedoraAdmin,art reproduction|Peacock marbled papers|curl marbled paper,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects,Marbled papers,2022-06-21T13:52:58.691000+00:00,Berger-Cloonan #1081,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,StillImage,reformatted digital,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/56/pages/page_0/files/01081.jpg,,1990s,1995,Victoria Marbling
4363,"1 sheet of gray, black and white marbled paper; 18.75 x 19.50 in.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/124/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/124/pages,false,2022-06-21T13:54:55.113000+00:00,"Frigge, Karli",Netherlands,Paper,"Distribution of fibers; Surface application; Laid; Marbled; M4.D3.F4; Laid paper; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; VIII.F.4.f; Not signed; Stamped; Ink and marks on verso; The Berger/Cloonan paper collection contains a large number of the works of Karli Frigge. Sidney E. Berger wrote Karli Frigge's Life in Marbling (Newtown, PA: Bird & Bull Press, 2004), in which he claims that Karli Frigge is perhaps the greatest marbler in history.; [stamped in black ink on verso]: ""KARLI FRIGGE LOCHEMSEWEG 75 7215 RA JOPPE NEDERLAND [printed in an open square]""",fedoraAdmin,Stone marbled papers|art reproduction|agate marbled paper,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects,Marbled papers,2022-06-21T13:54:55.113000+00:00,Berger-Cloonan #4363,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,StillImage,reformatted digital,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/124/pages/page_0/files/04363.jpg,,,,
3H12|1086,"1 sheet of green, red, yellow, black, gray and white marbled paper; 17.50 x 25.00 in.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/61/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/61/orderProxies,false,2022-06-21T13:53:03.328000+00:00,"Hall, Victoria",England--Norwich,Paper,"Surface application; Marbled; M4.D5.F3; Sidney E. Berger and Michele V. Cloonan purchased the sheet from Ian Harkness.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.4.g; Not signed; Stamped; Not stickered; Not embossed; [stamped in black ink on verso]: ""Victoria Marbling  HAND DECORATED PAPERS BY VICTORIA HALL, St. Mary's Works, Duke Street, Norwich, NR3 1QA ENGLAND Tel: 01603 76441""; [stamped in light blue ink on verso]: ""Copyright [copyright symbol] 1995, No unauthorized reproduction""; [stamped in black ink on verso]: ""Ian Harkness English Hand Marbled Papers, 214-869-9010, To Re-Order Quote Ref 3H12""",fedoraAdmin,Stormont marbled paper|art reproduction,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects,Marbled papers,2022-06-21T13:53:03.328000+00:00,Berger-Cloonan #1086,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,StillImage,reformatted digital,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/61/pages/page_0/files/01086.jpg,,1990s,1995,Victoria Marbling
