dcterms_extent,dcterms_type,fedora_createdBy,dc_subject,fedora_writable,ldp_contains,dcterms_isPartOf,dc_description,dc_format,dc_publisher,dc_summary,fedora_created,dc_language,fedora_lastModifiedBy,dc_type,dcterms_issued,fedora_hasParent,dc_title,fedora_lastModified,dc_rights,files,dc_identifer,dc_creator,dc_contributor
Book cover,StillImage|Text,fedoraAdmin,Climatic changes|Ice-boats|Dystopias|Quests (Expeditions)|Glacial epoch,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/81/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/81/pages,Science Fiction & Fantasy Research Collection,"Book jacket image of the copy held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",reformatted digital,Berkley Pub.,"During a futuristic ice age when Earth and her cities lie beneath layers of ice after a nuclear war, Konrad is given command of an ice vessel after encountering a dying man.  His command is short-lived for the ice-age is ending, and his idol, the Ice Mother, has fallen.  As he sails north toward New York. Konrad sees the quest almost as a pilgrimage to the Ice Mother while some of the other passengers see the voyage as a manifestation of the changing world.",2023-06-05T16:58:36.395000+00:00,eng,fedoraAdmin,book jackets|Ecofiction|Dystopian fiction|Science fiction,[1969],https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,The ice schooner,2023-06-05T16:58:36.395000+00:00,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/81/pages/page_0/files/Scifi2021MoorcockThe.jpg,408085,"Moorcock, Michael, 1939-",
Book cover,Text|StillImage,fedoraAdmin,Global warming|Vegetation and climate,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/69/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/69/pages,Science Fiction & Fantasy Research Collection,"Book jacket image of the copy held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",reformatted digital,Baen Enterprises,"In this award-winning science fiction adventure, radiation from the dying sun transforms the Earth into a hothouse, where monstrous sentient plants and carnivorous insects prey on mankind",2023-06-05T16:54:43.464000+00:00,eng,fedoraAdmin,Science fiction|Apocalyptic fiction|book jackets|Ecofiction,1984,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,Hothouse,2023-06-05T16:54:43.464000+00:00,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/69/pages/page_0/files/Scifi2021AldissHothouse.jpg,799683,"Aldiss, Brian W. (Brian Wilson), 1925-",
Magazine cover + 1 page,StillImage|Text,fedoraAdmin,"Short stories, American|Science fiction|Pulp literature, American",false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/71/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/71/pages,Science Fiction & Fantasy Research Collection,"Front cover image of the June 1958 ( v.1:no.1) issue held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",reformatted digital,Vanguard Science Fiction Inc.,"The ""first issue"" of the serial ""Vanguard Science Fiction,"" edited by James Blish.  The cover features the caption: ""SOS: Planet Unknown by A. Bertram Chandler.""  Other names appearing on the cover are: Kornbluth, Jones, Del Rey and De Camp.  This exhibition also featured a digitized copy of the first page of ""Reap the Dark Tide"" by C.M. Kornbluth.",2023-06-05T16:55:24.691000+00:00,eng,fedoraAdmin,Periodicals|Science fiction|Short stories,[1958-],https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,"Vanguard science fiction: [v. 1, no. 1, June 1958]",2023-06-05T16:55:24.691000+00:00,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/71/pages/page_0/files/Scifi2021ChandlerVanguard_1.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/71/pages/page_1/files/Scifi2021ChandlerVanguard_2.jpg,1399595,"Chandler, A. Bertram (Arthur Bertram), 1912-1984|Kornbluth, C. M.  (Cyril M.), 1923-1958","Blish, James"
Book cover,Text|StillImage,fedoraAdmin,Climatic changes|Twenty-second century|Sea level|Interpersonal relations|New York (State)--New York,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/60/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/60/pages,Science Fiction & Fantasy Research Collection,"Book jacket image of the first edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",reformatted digital,Orbit,"As the sea levels rose, every skyscraper in New York City became an island. In one apartment building in Madison Square there is the market trader, who finds opportunities where others find trouble. There is the detective, whose work will never disappear. There is the internet star, and the building's manager, and two boys who don't live there, but have no other home. And then there are the coders, temporary residents on the roof, whose disappearance triggers a sequence of events that threatens even the long-hidden foundations on which the city rests.",2023-06-05T16:51:52.335000+00:00,eng,fedoraAdmin,Apocalyptic fiction|book jackets|Ecofiction|Science fiction,2017,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,New York 2140,2023-06-05T16:51:52.335000+00:00,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/60/pages/page_0/files/Scifi2021RobinsonNew.jpg,5422763,"Robinson, Kim Stanley",
Book cover,Text|StillImage,fedoraAdmin,Marine scientists|Ocean temperature|Ocean acidification|Alaska,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/30/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/30/orderProxies,Science Fiction & Fantasy Research Collection,"Book jacket image of the copy held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",reformatted digital,WestWinds Press,"A character-driven literary novel set in Alaska involving marine scientists (and a conceptual performance artist) confronting and in conflict over ocean warming and acidification. The connections among science, art, and culturally-defined beliefs are major themes.",2023-06-05T16:42:23.154000+00:00,eng,fedoraAdmin,book jackets|Ecofiction,[2017],https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,pH : a novel,2023-06-05T16:42:23.154000+00:00,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/30/pages/page_0/files/Scifi2021LordPH.jpg,5969700,"Lord, Nancy",
Book cover,StillImage|Text,fedoraAdmin,Dystopias|Pollution,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/55/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/55/orderProxies,Science Fiction & Fantasy Research Collection,"Book jacket image of the [Book club edition] held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",reformatted digital,Harper & Row,"With the rise of a corporation-sponsored government, pollution in American big cities has reached extreme levels and most (if not all) people's health has been affected in some way.",2023-06-05T16:50:16.948000+00:00,eng,fedoraAdmin,book jackets|Ecofiction|Dystopian fiction|Science fiction,[1972],https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,The sheep look up,2023-06-05T16:50:16.948000+00:00,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/55/pages/page_0/files/Scifi2021BrunnerThe.jpg,388325,"Brunner, John, 1934-1995",
1 poster with colored illustrations and text; 92 x 61 cm,StillImage,fedoraAdmin,"Godzilla films|Monster films|Godzilla, king of the monsters (Motion picture : 2019)",false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/98/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/98/pages,Science Fiction & Fantasy Research Collection,"Held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",reformatted digital,Warner Bros. Pictures,Movie poster of the 2019 movie Godzilla: King of the Monsters,2023-06-05T17:04:10.417000+00:00,eng,fedoraAdmin,film posters|Posters,2019,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,"Godzilla, king of the monsters, in theaters May 31 : long live the king",2023-06-05T17:04:10.417000+00:00,"In copyright--educational user permitted; for more information, see http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/98/pages/page_0/files/godzilla.jpg,,,
Book cover,Text|StillImage,fedoraAdmin,Voyages and travels|Environmental refugees|Europe|Human trafficking victims,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/94/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/94/pages,Science Fiction & Fantasy Research Collection,"Book jacket image of the first edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",reformatted digital,47North,"Late in the twenty-first century, drought and wildfires prompt an exodus from southern Europe. When twelve-year-old Caleb is separated from his mother during their trek north, he soon falls prey to traffickers. Enslaved in an enclave outside Manchester, the resourceful and determined Caleb never loses hope of bettering himself.  After Caleb is befriended by a fellow victim of trafficking, another road opens. Hiding in the woodlands by day, guided by the stars at night, he begins a new journey - to escape to a better life, to meet someone he can trust, and to find his family. For Caleb, only one thing is certain: making his way in the world will be far more difficult than his mother imagined.",2023-06-05T17:02:53.698000+00:00,eng,fedoraAdmin,Science fiction|book jackets|Bildungsromans|Ecofiction|Dystopian fiction,[2020],https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,Bridge 108,2023-06-05T17:02:53.698000+00:00,"In copyright--educational user permitted; for more information, see http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/94/pages/page_0/files/Scifi2021CharnockBridge.jpg,on1090475572,"Charnock, Anne",
Book cover + 1 page,Text|StillImage,fedoraAdmin,"Short stories, American|Science fiction",false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/84/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/84/pages,Science Fiction & Fantasy Research Collection,"Front cover image of the Book club edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",reformatted digital,Meredith Press,"This anthology Includes three stories: ""How it was when the past went away"" by Robert Silverber, "" The eve of RUMOKO"" by Roger Zelazny, and "" We all Die Naked"" by James Blish. In this exhibition, a digitized copy of the first page of ""We all Die Naked"" by James Blish was featured.",2023-06-05T16:59:36.905000+00:00,eng,fedoraAdmin,book jackets|Science fiction|Novellas|Short stories,[1969?],https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,Three for tomorrow : three original novellas of science fiction,2023-06-05T16:59:36.905000+00:00,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/84/pages/page_0/files/Scifi2021Three_1.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/84/pages/page_1/files/Scifi2021Three_2.jpg,1248365,"Zelazny, Roger|Blish, James|Silverberg, Robert",
Book cover,StillImage|Text,fedoraAdmin,Authoritarianism|Ojibwa Indians|Minnesota|Birthmothers|Adoptees|End of the world|Pregnant women,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/89/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/89/orderProxies,Science Fiction & Fantasy Research Collection,"Book jacket image of the signed, first specially bound edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",reformatted digital,Harper,"The world as we know it is ending. Evolution has reversed itself, affecting every living creature on earth. Science cannot stop the world from running backwards, as woman after woman gives birth to infants that appear to be primitive species of humans. Twenty-six-year-old Cedar Hawk Songmaker, adopted daughter of a pair of big-hearted, open-minded Minneapolis liberals, is as disturbed and uncertain as the rest of America around her. But for Cedar, this change is profound and deeply personal. She is four months pregnant. Though she wants to tell the adoptive parents who raised her from infancy, Cedar first feels compelled to find her birth mother, Mary Potts, an Ojibwe living on the reservation, to understand both her and her baby's origins. As Cedar goes back to her own biological beginnings, society around her begins to disintegrate, fueled by a swelling panic about the end of humanity.  A stranger answers the phone when she calls her adoptive parents, who have vanished without a trace. It will take all Cedar has to avoid the prying eyes of potential informants and keep her baby safe.",2023-06-05T17:01:13.697000+00:00,eng,fedoraAdmin,book jackets|Apocalyptic fiction,[2017],https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,Future home of the living god : a novel,2023-06-05T17:01:13.697000+00:00,"In copyright--educational user permitted; for more information, see http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/89/pages/page_0/files/Scifi2021ErdrichFuture.jpg,5581268,"Erdrich, Louise",
Book cover,Text|StillImage,fedoraAdmin,Restoration ecology|Sisters|Orphans|Missing persons,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/79/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/79/orderProxies,Science Fiction & Fantasy Research Collection,"Book jacket image of the copy held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",reformatted digital,Pyr,"Coryn Williams has grown up in the megacity of Seacouver, where her every need is provided for--except satisfaction with her life. After her parents' suicides, her sister Lou fled the city to work on a rewilding crew, restoring lands once driven to the brink of ecological disaster by humans to a more natural state. Finally of age, Coryn leaves the city with her companion robot to look for her sister. But the outside world is not what she expects--it is rougher and more dangerous, and while some people help her, some resent the city and some covet her most precious resource: her companion robot. As Coryn struggles toward her sister, she uncovers a group of people with a sinister agenda that may endanger Seacouver. When Coryn does find her sister, Lou has secrets she won't share. Can Coryn and Lou learn to trust each other in order to discover the truth hidden behind the surface and to save both Seacouver and the rewilded lands?",2023-06-05T16:57:57.953000+00:00,eng,fedoraAdmin,Ecofiction|book jackets,2017,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,Wilders,2023-06-05T16:57:57.953000+00:00,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/79/pages/page_0/files/Scifi2021CooperWilders.jpg,5454041,"Cooper, Brenda, 1960-",
Book cover,StillImage|Text,fedoraAdmin,Regression (Civilization),false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/68/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/68/orderProxies,Science Fiction & Fantasy Research Collection,"Book jacket image of the copy held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",reformatted digital,Ace Books,"Two generations after the Destruction, rumors persisted about a secret desert hideaway where scientists worked with dangerous machines and where men plotted to revive the cities. Almost a continent away, Len Coulter heard whisperings that fired his imagination. Then one day he found a strange wooden box.",2023-06-05T16:54:24.494000+00:00,eng,fedoraAdmin,book jackets|Science fiction|Apocalyptic fiction,[1955],https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,The long tomorrow,2023-06-05T16:54:24.494000+00:00,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/68/pages/page_0/files/Scifi2021BrackettLong.jpg,127676,"Brackett, Leigh",
Book cover,Text|StillImage,fedoraAdmin,End of the world|Disasters--Forecasts,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/38/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/38/pages,Science Fiction & Fantasy Research Collection,"Book jacket image of the first edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",reformatted digital,Farrar Straus and Giroux,"While working for a mysterious financial consulting firm that offers insurance to corporations against impending catastrophic events, a gifted young mathematician becomes increasingly obsessed with doomsday scenarios until one of his actual worst-case scenarios unfolds in Manhattan.",2023-06-05T16:44:55.083000+00:00,eng,fedoraAdmin,Fantasy fiction|Apocalyptic fiction|book jackets|Science fiction,2013,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,Odds against tomorrow,2023-06-05T16:44:55.083000+00:00,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/38/pages/page_0/files/Scifi2021RichOdds.jpg,4448273,"Rich, Nathaniel, 1980-",
Book cover,Text|StillImage,fedoraAdmin,Sea level|Florida--Miami,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/23/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/23/pages,Science Fiction & Fantasy Research Collection,"Book jacket image of the copy held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",reformatted digital,The Accomplices,"A collection of bilingual poems, Spanish and English, written in both languages, not translated.  Poems include:  Losing Miami, I -- The thousands -- Losing Miami, II -- Radio y laguito -- Losing Miami, III -- 'Yo' quiere decir sunburn -- Better organized -- Losing Miami, IV.",2023-06-05T16:40:10.412000+00:00,spa|eng,fedoraAdmin,book jackets|Ecopoetry,[2019],https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,Losing Miami,2023-06-05T16:40:10.412000+00:00,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/23/pages/page_0/files/Scifi2021Ojeda-SagureLosing.jpg,5968877,"Ojeda-Sague, Gabriel",
Book cover,StillImage|Text,fedoraAdmin,Petroleum reserves|Technology|Nuclear weapons|Smuggling|Ecologists|Arctic regions|Climatic changes|Global warming,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/111/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/111/pages,Science Fiction & Fantasy Research Collection,"Book jacket image of the first edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction�s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",reformatted digital,Tor,"In a future Earth decimated by global warming where rival countries fight to claim massive amounts of oil beneath the newly accessible ocean, an innovative corporation creates a technology that can both cool the planet and provide a massive super-weapon, prompting airship pilot Anika Duncan to be swept up by an international plot.",2023-08-04T18:31:12.735000+00:00,eng,fedoraAdmin,Action and adventure fiction|Thrillers (Fiction)|book jackets|Ecofiction|Science fiction,2012,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,Arctic rising,2023-08-04T18:31:12.735000+00:00,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/111/pages/page_0/files/Scifi2021BuckellArcticRising.jpg,3971627,"Buckell, Tobias S.",
